100000000A,國民大會
315053500M,交通部臺灣區國道高速公路局古坑收費站
315053600M,交通部臺灣區國道高速公路局白河收費站
315053700M,交通部臺灣區國道高速公路局善化收費站
315053800M,交通部臺灣區國道高速公路局大甲收費站
315053900M,交通部臺灣區國道高速公路局名間收費站
315054000M,交通部臺灣區國道高速公路局月眉收費站
315054100M,交通部臺灣區國道高速公路局竹田收費站
315054200M,交通部臺灣區國道高速公路局頭城收費站
315060000H,交通部民用航空局
315060200H,交通部民用航空局臺北國際航空站
315060300H,交通部民用航空局高雄國際航空站
315060400H,交通部民用航空局花蓮航空站
315060500H,交通部民用航空局臺東航空站
315060600H,交通部民用航空局馬公航空站
315060700H,交通部民用航空局金門航空站
315060800H,交通部民用航空局臺南航空站
315060900H,交通部民用航空局臺中航空站
315061000H,交通部民用航空局嘉義航空站
315061100H,交通部民用航空局七美航空站
315061200H,交通部民用航空局望安航空站
315061300H,交通部民用航空局蘭嶼航空站
315061400H,交通部民用航空局綠島航空站
315061500H,交通部民用航空局南竿航空站
315061600H,交通部民用航空局北竿航空站
315061700H,交通部民用航空局屏東航空站
315061800H,交通部民用航空局恆春航空站
315065000H,交通部民用航空局飛航服務總臺
315065400H,交通部民用航空局民航人員訓練所
315066100H,交通部民用航空局機場擴建工程處
315070000H,交通部中央氣象局
315070400H,交通部中央氣象局地震測報中心
315070500H,交通部中央氣象局氣象預報中心
315070600H,交通部中央氣象局氣象衛星中心
315070700H,交通部中央氣象局氣象資訊中心
315070800H,交通部中央氣象局氣象儀器檢校中心
315070900H,交通部中央氣象局海象測報中心
315071000H,交通部中央氣象局臺灣南區氣象中心
315072400H,交通部中央氣象局花蓮氣象雷達站
315072600H,交通部中央氣象局臺北氣象站
315072700H,交通部中央氣象局天文站
315072800H,交通部中央氣象局花蓮氣象站
315072900H,交通部中央氣象局五分山氣象雷達站
315073000H,交通部中央氣象局墾丁氣象雷達站
315075300H,交通部中央氣象局新竹氣象站
315075400H,交通部中央氣象局臺中氣象站
315075500H,交通部中央氣象局梧棲氣象站
315075600H,交通部中央氣象局嘉義氣象站
315075800H,交通部中央氣象局高雄氣象站
315075900H,交通部中央氣象局恆春氣象站
315076000H,交通部中央氣象局臺東氣象站
315076100H,交通部中央氣象局宜蘭氣象站
315076200H,交通部中央氣象局蘇澳氣象站
315076300H,交通部中央氣象局基隆氣象站
315076400H,交通部中央氣象局澎湖氣象站
315076500H,交通部中央氣象局金門氣象站
315076600H,交通部中央氣象局馬祖氣象站
315078100H,交通部中央氣象局竹子湖氣象站
315078200H,交通部中央氣象局鞍部氣象站
315078300H,交通部中央氣象局日月潭氣象站
315078400H,交通部中央氣象局成功氣象站
315078500H,交通部中央氣象局阿里山氣象站
315078600H,交通部中央氣象局玉山氣象站
315078700H,交通部中央氣象局大武氣象站
315078800H,交通部中央氣象局蘭嶼氣象站
315078900H,交通部中央氣象局東吉島氣象站
315079000H,交通部中央氣象局彭佳嶼氣象站
315080000H,交通部觀光局
315080500H,交通部觀光局東部海岸國家風景區管理處
315080600H,交通部觀光局澎湖國家風景區管理處
315080800H,交通部觀光局花東縱谷國家風景區管理處
315080900H,交通部觀光局大鵬灣國家風景區管理處
315081000H,交通部觀光局馬祖國家風景區管理處
315081100H,交通部觀光局日月潭國家風景區管理處
315081200H,交通部觀光局參山國家風景區管理處
315081300H,交通部觀光局阿里山國家風景區管理處
315081400H,交通部觀光局茂林國家風景區管理處
315081500H,觀光局北海岸及觀音山國家風景區管理處
315081600H,交通部觀光局雲嘉南濱海國家風景區管理處
315081700H,交通部觀光局西拉雅國家風景區管理處
315081800H,交通部觀光局東北角暨宜蘭海岸國家風景區管理處
315100000H,交通部運輸研究所
315120000H,交通部臺灣區國道新建工程局
315120100H,交通部臺灣區國道新建工程局第一區工程處
315120200H,交通部臺灣區國道新建工程局第二區工程處
315160000H,交通部高速鐵路工程局
315160100H,交通部高速鐵路工程局捷運工程處
315180000M,交通部臺灣鐵路管理局
315180300M,交通部臺灣鐵路管理局資訊中心
315180400M,交通部臺灣鐵路管理局票務中心
315181600M,交通部臺灣鐵路管理局臺北運務段
315181700M,交通部臺灣鐵路管理局臺中運務段
315181800M,交通部臺灣鐵路管理局高雄運務段
315181900M,交通部臺灣鐵路管理局宜蘭運務段
315182000M,交通部臺灣鐵路管理局花蓮運務段
3151826995,交通部臺灣鐵路管理局專案工程處
315182700M,交通部臺灣鐵路管理局綜合調度所
315183800M,交通部臺灣鐵路管理局宜蘭工務段
315183900M,交通部臺灣鐵路管理局臺北工務段
315184000M,交通部臺灣鐵路管理局臺中工務段
315184100M,交通部臺灣鐵路管理局嘉義工務段
315184200M,交通部臺灣鐵路管理局高雄工務段
315184300M,交通部臺灣鐵路管理局臺東工務段
315184400M,交通部臺灣鐵路管理局花蓮工務段
315185400M,交通部臺灣鐵路管理局工務養護總隊
315186600M,交通部臺灣鐵路管理局七堵機務段
315186700M,交通部臺灣鐵路管理局臺北機務段
315186800M,交通部臺灣鐵路管理局彰化機務段
315186900M,交通部臺灣鐵路管理局高雄機務段
315187000M,交通部臺灣鐵路管理局花蓮機務段
315187500M,交通部臺灣鐵路管理局新竹機務段
315187600M,交通部臺灣鐵路管理局嘉義機務段
315187800M,交通部臺灣鐵路管理局臺北檢車段
315187900M,交通部臺灣鐵路管理局彰化檢車段
315188000M,交通部臺灣鐵路管理局高雄檢車段
315188400M,交通部臺灣鐵路管理局臺北機廠
315188500M,交通部臺灣鐵路管理局高雄機廠
315188600M,交通部臺灣鐵路管理局花蓮機廠
315189500M,交通部臺灣鐵路管理局臺北電務段
315189600M,交通部臺灣鐵路管理局彰化電務段
315189700M,交通部臺灣鐵路管理局高雄電務段
315189800M,交通部臺灣鐵路管理局花蓮電務段
315191600M,交通部臺灣鐵路管理局臺北電力段
315191700M,交通部臺灣鐵路管理局新竹電力段
315191800M,交通部臺灣鐵路管理局彰化電力段
315191900M,交通部臺灣鐵路管理局嘉義電力段
315192000M,交通部臺灣鐵路管理局臺南電力段
315192900M,交通部臺灣鐵路管理局電訊中心
315193500M,交通部臺灣鐵路管理局中區供應廠
315193600M,交通部臺灣鐵路管理局北區供應廠
315193700M,交通部臺灣鐵路管理局南區供應廠
315195200M,交通部臺灣鐵路管理局貨運服務總所
315195202M,交通部鐵路局貨運服務總所臺北貨運服務所
315195203M,交通部鐵路局貨運服務總所臺中貨運服務所
315195205M,交通部鐵路局貨運服務總所臺南貨運服務所
315195206M,交通部鐵路局貨運服務總所高雄貨運服務所
315195300M,交通部臺灣鐵路管理局餐旅服務總所
315195301M,交通部臺灣鐵路局餐旅服務總所車勤服務部
315240000H,交通部鐵路改建工程局
315240100H,交通部鐵路改建工程局東部工程處
315240200H,交通部鐵路改建工程局南部工程處
315240300H,交通部鐵路改建工程局中部工程處
315250000M,交通部公路總局
315250100M,交通部公路總局第一區養護工程處
315250101M,交通部公路總局第一區養護工程處景美工務段
315250102M,交通部公路總局第一區養護工程處中和工務段
315250103M,交通部公路總局第一區養護工程處中壢工務段
315250104M,交通部公路總局第一區養護工程處新竹工務段
315250105M,交通部公路總局第一區養護工程處復興工務段
315250106M,公路總局第一處基隆福隆段公路新建工務所
315250107M,交通部公路總局第一區養護工程處八里工務所
315250200M,交通部公路總局第二區養護工程處
315250201M,交通部公路總局第二區養護工程處苗栗工務段
315250202M,交通部公路總局第二區養護工程處臺中工務段
315250203M,交通部公路總局第二區養護工程處彰化工務段
315250204M,交通部公路總局第二區養護工程處南投工務段
315250205M,交通部公路總局第二區養護工程處谷關工務段
315250206M,交通部公路總局第二區養護工程處埔里工務段
315250207M,交通部公路總局第二區養護工程處信義工務段
315250208M,交通部公路總局第二區養護工程處機械施工隊
315250209M,公路總局第二區養護工程處名間工務所
315250210M,公路總局第二區養護工程處大湖工務所
315250300M,交通部公路總局第三區養護工程處
315250301M,交通部公路總局第三區養護工程處高雄工務段
315250302M,交通部公路總局第三區養護工程處潮州工務段
315250303M,交通部公路總局第三區養護工程處臺東工務段
315250304M,交通部公路總局第三區養護工程處甲仙工務段
315250305M,交通部公路總局第三區養護工程處關山工務段
315250306M,交通部公路總局第三區養護工程處澎湖工務段
315250307M,交通部公路總局第三區養護工程處楓港工務段
315250308M,公路總局第三區養護工程處旗山工務所
315250309M,公路總局第三區養護工程處里嶺工務所
315250310M,公路總局第三區養護工程處東濱工務所
315250400M,交通部公路總局第四區養護工程處
315250401M,交通部公路總局第四區養護工程處頭城工務段
315250402M,交通部公路總局第四區養護工程處南澳工務段
315250403M,公路總局第四區養護工程處獨立山工務段
315250404M,交通部公路總局第四區養護工程處花蓮工務段
315250405M,交通部公路總局第四區養護工程處洛韶工務段
315250406M,交通部公路總局第四區養護工程處玉里工務段
315250407M,公路總局第四區工程處宜蘭工務所
315250408M,交通部公路總局第四工程處花蓮工務所
315250500M,交通部公路總局第五區養護工程處
315250501M,交通部公路總局第五區養護工程處斗南工務段
315250502M,交通部公路總局第五區養護工程處水上工務段
315250503M,交通部公路總局第五區養護工程處新營工務段
315250504M,交通部公路總局第五區養護工程處新化工務段
315250505M,交通部公路總局第五區養護工程處曾文工務段
315250506M,公路總局第五區養護工程處阿里山工務段
315250507M,公路總局第五區養護工程處臺南工務所
315250508M,公路總局第五區養護工程處嘉太工務所
315250509M,公路總局第五區養護工程處東石工務所
315250510M,公路總局第五區養護工程處將軍工務所
315250511M,公路總局第五區養護工程處麥寮工務所
315251200M,交通部公路總局西部濱海公路中區工程處
315251203M,公路總局西部濱海公路中區工程處第三工務段
315251205M,公路總局西部濱海公路中區工程處第五工務段
315251206M,公路總局西部濱海公路中區工程處第六工務段
315251400M,交通部公路總局西部濱海公路北區臨時工程處
315251401M,公路總局西濱公路北區臨時工程處第一工務段
315251402M,公路總局西濱公路北區臨時工程處第二工務段
315251403M,公路總局西濱公路北區臨時工程處第三工務段
315251500M,交通部公路總局西部濱海公路南區臨時工程處
315251501M,公路總局西濱公路南區臨時工程處第一工務段
315251502M,公路總局西濱公路南區臨時工程處第二工務段
315251503M,公路總局西濱公路南區臨時工程處第三工務段
315251600M,交通部公路總局蘇花公路改善工程處
315252101M,公路總局東西向快速公路北工處第一工務段
315252102M,公路總局東西向快速公路北工處第二工務段
315252103M,公路總局東西向快速公路北工處第三工務段
315252104M,公路總局東西向快速公路北工處第四工務段
315252105M,公路總局東西向快速公路北工處第五工務段
315252201M,公路總局東西向快速公路中工處第一工務段
315252202M,公路總局東西向快速公路中工處第二工務段
315252204M,公路總局東西向快速公路中工處第四工務段
315252205M,公路總局東西向快速公路中工處第五工務段
315252206M,公路總局東西向快速公路中工處第六工務段
315252300M,交通部公路總局東西向快速公路南區工程處
315252303M,公路總局東西向快速公路南工處第三工務段
315252400M,交通部公路總局東西向快速公路高南區工程處
315252401M,公路總局東西向快速公路高南工處第一工務段
315252402M,公路總局東西向快速公路高南工處第二工務段
315252404M,公路總局東西向快速公路高南工處第四工務段
315252405M,交通部公路總局東西向快速公路高南區工程處第五工務段
315252406M,交通部公路總局東西向快速公路高南區工程處第六工務段
315253100M,交通部公路總局臺北區監理所
315253101M,交通部公路總局臺北區監理所板橋監理站
315253102M,交通部公路總局臺北區監理所基隆監理站
315253103M,交通部公路總局臺北區監理所宜蘭監理站
315253104M,交通部公路總局臺北區監理所花蓮監理站
315253105M,公路總局臺北區監理所花蓮監理站玉里分站
315253106M,交通部公路總局臺北區監理所蘆洲監理站
315253200M,交通部公路總局新竹區監理所
315253201M,交通部公路總局新竹區監理所桃園監理站
315253202M,交通部公路總局新竹區監理所中壢監理站
315253203M,交通部公路總局新竹區監理所新竹市監理站
315253204M,交通部公路總局新竹區監理所苗栗監理站
315253300M,交通部公路總局臺中區監理所
315253301M,交通部公路總局臺中區監理所臺中市監理站
315253302M,交通部公路總局臺中區監理所彰化監理站
315253303M,交通部公路總局臺中區監理所豐原監理站
315253304M,交通部公路總局臺中區監理所南投監理站
315253305M,公路總局臺中區監理所南投監理站埔里分站
315253400M,交通部公路總局嘉義區監理所
315253401M,交通部公路總局嘉義區監理所臺南監理站
315253402M,交通部公路總局嘉義區監理所雲林監理站
315253403M,公路總局嘉義區監理所雲林監理站東勢分站
315253404M,交通部公路總局嘉義區監理所麻豆監理站
315253405M,交通部公路總局嘉義區監理所新營監理站
315253406M,交通部公路總局嘉義區監理所嘉義市監理站
315253500M,交通部公路總局高雄區監理所
315253501M,交通部公路總局高雄區監理所屏東監理站
315253502M,公路總局高雄區監理所屏東監理站恆春分站
315253503M,交通部公路總局高雄區監理所旗山監理站
315253504M,交通部公路總局高雄區監理所臺東監理站
315253505M,交通部公路局高雄區監理所澎湖監理站
315253600M,臺北市區監理所
315253700M,交通部公路總局高雄市區監理所
315254700M,交通部公路總局公路人員訓練所
315255100M,交通部公路總局材料試驗所
315260000M,交通部航港局
315830000M,中華郵政股份有限公司
315830100M,中華郵政股份有限公司臺北郵局
315830200M,中華郵政股份有限公司板橋郵局
315830300M,中華郵政股份有限公司臺中郵局
315830400M,中華郵政股份有限公司高雄郵局
315830500M,中華郵政股份有限公司基隆郵局
315830600M,中華郵政股份有限公司三重郵局
315830700M,中華郵政股份有限公司桃園郵局
315830800M,中華郵政股份有限公司中壢郵局
315830900M,中華郵政股份有限公司新竹郵局
315831000M,中華郵政股份有限公司豐原郵局
315831100M,中華郵政股份有限公司彰化郵局
315831200M,中華郵政股份有限公司嘉義郵局
315831300M,中華郵政股份有限公司臺南郵局
315831400M,中華郵政股份有限公司鳳山郵局
315831500M,中華郵政股份有限公司苗栗郵局
315831600M,中華郵政股份有限公司南投郵局
315831700M,中華郵政股份有限公司雲林郵局
315831800M,中華郵政股份有限公司新營郵局
315831900M,中華郵政股份有限公司屏東郵局
315832000M,中華郵政股份有限公司宜蘭郵局
315832100M,中華郵政股份有限公司花蓮郵局
315832200M,中華郵政股份有限公司臺東郵局
315832300M,中華郵政股份有限公司澎湖郵局
315837000M,中華郵政股份有限公司臺北郵件處理中心
315837200M,中華郵政股份有限公司臺中郵件處理中心
315837400M,中華郵政股份有限公司高雄郵件處理中心
315850000M,桃園國際機場股份有限公司
315860000M,臺灣港務股份有限公司
315860100M,臺灣港務股份有限公司基隆港務分公司
315860200M,臺灣港務股份有限公司臺中港務分公司
315860300M,臺灣港務股份有限公司高雄港務分公司
315860400M,臺灣港務股份有限公司花蓮港務分公司
317000000A,蒙藏委員會
325000000E,行政院新聞局
325220000E,駐多明尼加共和國大使館新聞參事處
325240000E,駐薩爾瓦多共和國大使館新聞參事處
325250000E,駐瓜地馬拉共和國大使館新聞參事處
325280000E,駐宏都拉斯大使館新聞參事處
325320000E,駐巴拿馬共和國大使館新聞參事處
325330000E,駐巴拉圭共和國大使館新聞參事處
325370000E,駐邁阿密新聞處
325510000E,駐尼加拉瓜大使館新聞參事處
325820000E,駐韓國新聞處
325850000E,駐南非新聞處
325880000E,駐波蘭新聞處
325920000E,駐墨西哥新聞處
325940000E,駐印度新聞處
326010000E,駐新加坡新聞處
326030000E,駐日本新聞處
326040000E,駐沙烏地阿拉伯新聞處
326120000E,駐香港新聞處
326130000E,駐馬來西亞新聞處
326140000E,駐菲律賓新聞處
326150000E,駐泰國新聞處
326170000E,駐紐西蘭新聞處
326190000E,駐澳大利亞新聞處
326370000E,駐英國新聞處
326420000E,駐法國新聞處
326430000E,駐比利時新聞處
326450000E,駐西班牙新聞處
326470000E,駐瑞典新聞處
326500000E,駐荷蘭新聞處
326520000E,駐義大利新聞處
326530000E,駐丹麥新聞處
326600000E,駐華府新聞處
326610000E,駐亞特蘭大新聞處
326620000E,駐芝加哥新聞處
326660000E,駐紐約新聞處
326690000E,駐波士頓新聞處
326700000E,駐柏林新聞處
326710000E,駐慕尼黑新聞處
326720000E,駐漢堡新聞處
326730000E,駐洛杉磯新聞處
326740000E,駐休士頓新聞處
326760000E,駐舊金山新聞處
326810000E,駐巴西新聞處
326820000E,駐智利新聞處
326830000E,駐委內瑞拉新聞處
326880000E,駐秘魯新聞處
326910000E,駐多倫多新聞處
326920000E,駐溫哥華新聞處
326930000E,駐渥太華新聞處
326970000E,駐捷克新聞處
327000000I,行政院衛生署
327150000I,行政院衛生署疾病管制局
327200000I,行政院衛生署國民健康局
327210000I,行政院衛生署胸腔病院
327220000I,行政院衛生署食品藥物管理局
327510100I,中央健康保險局臺北分局
327510200I,中央健康保險局北區分局
327510300I,中央健康保險局中區分局
327510400I,中央健康保險局南區分局
327510500I,中央健康保險局高屏分局
327510600I,中央健康保險局東區分局
327515000P,中央健康保險局臺北聯合門診中心
327515400P,中央健康保險局高雄聯合門診中心
327520000I,行政院衛生署中醫藥委員會
327530000N,全民健康保險監理委員會
327540000I,全民健康保險爭議審議委員會
327550000I,全民健康保險醫療費用協定委員會
327560000I,行政院衛生署中央健康保險局
327620000P,行政院衛生署基隆醫院
327630000P,行政院衛生署臺北醫院
327640000P,行政院衛生署桃園醫院
327670000P,行政院衛生署苗栗醫院
327680000P,行政院衛生署豐原醫院
327690000P,行政院衛生署臺中醫院
327710000P,行政院衛生署南投醫院
327720000P,行政院衛生署彰化醫院
327740000P,行政院衛生署嘉義醫院
327750000P,行政院衛生署朴子醫院
327760000P,行政院衛生署新營醫院
327770000P,行政院衛生署臺南醫院
327780000P,行政院衛生署澎湖醫院
327790000P,行政院衛生署旗山醫院
327800000P,行政院衛生署屏東醫院
327810000P,行政院衛生署臺東醫院
327820000P,行政院衛生署花蓮醫院
327830000P,行政院衛生署玉里醫院
327840000P,行政院衛生署金門醫院
327850000P,行政院衛生署恆春旅遊醫院
327910000P,行政院衛生署樂生療養院
327920000P,行政院衛生署桃園療養院
327930000P,行政院衛生署八里療養院
327940000P,行政院衛生署草屯療養院
327950000P,行政院衛生署嘉南療養院
329000000G,行政院經濟建設委員會
3290100005,行政院國家發展基金管理會
331000000A,行政院國軍退除役官兵輔導委員會
331030000G,行政院國軍退除役官兵輔導委員會彰化農場
331040000G,行政院國軍退除役官兵輔導委員會嘉義農場
331060000G,行政院國軍退除役官兵輔導委員會屏東農場
331080000G,行政院國軍退除役官兵輔導委員會臺東農場
331090000G,行政院國軍退除役官兵輔導委員會花蓮農場
331110000G,行政院國軍退除役官兵輔導委員會福壽山農場
331120000G,行政院國軍退除役官兵輔導委員會武陵農場
331130000G,行政院國軍退除役官兵輔導委員會清境農場
331200000G,行政院國軍退除役官兵輔導委員會臺北鐵工廠
331210000G,行政院國軍退除役官兵輔導委員會榮民製藥廠
331240000G,行政院國軍退除役官兵輔導委員會榮民化工廠
331340000G,行政院國軍退除役官兵輔導委員會塑膠工廠
331350000G,行政院國軍退除役官兵輔導委員會龍崎工廠
331420000P,輔導會灣橋榮民醫院
331460000P,輔導會玉里榮民醫院
331460100P,輔導會玉里榮民醫院忠義分院
331460200P,輔導會玉里榮民醫院忠孝分院
331470000P,輔導會鳳林榮民醫院
331490000P,輔導會員山榮民醫院
331800000G,輔導會臺北榮民技術勞務中心
331820000G,輔導會高雄榮民技術勞務中心
331850000J,輔導會板橋榮譽國民之家
331860000J,輔導會桃園榮譽國民之家
331870000J,輔導會新竹榮譽國民之家
331880000J,輔導會彰化榮譽國民之家
331890000J,輔導會雲林榮譽國民之家
331900000J,輔導會白河榮譽國民之家
331910000J,輔導會臺南榮譽國民之家
331920000J,輔導會岡山榮譽國民之家
331930000J,輔導會屏東榮譽國民之家
331940000J,輔導會馬蘭榮譽國民之家
